,ORGANIZATION_TYPE,NAME_INCOME_TYPE,OCCUPATION_TYPE,,,,OCCUPATION_TYPE,UNKNOWN
39436,Telecom,Working,High skill tech staff,,,,,
39437,Business Entity Type 3,Working,Managers,,,,,
39438,Self-employed,Working,UNKNOWN,,,,,
39439,Self-employed,Working,Laborers,,,,,
39440,Business Entity Type 3,Working,Drivers,,,,,
39441,Industry: type 5,Working,Laborers,,,,,
39442,Telecom,Working,Laborers,,,,,
39443,Trade: type 7,Working,Sales staff,,,,,
39444,School,Working,Core staff,,,,,
39445,Medicine,State servant,UNKNOWN,,,,,
39446,Other,Working,Cleaning staff,,,,,
39447,Other,State servant,Managers,,,,,
39448,Kindergarten,Working,Core staff,,,,,
39449,Business Entity Type 3,Working,Laborers,,,,,
39450,Business Entity Type 3,Commercial associate,Sales staff,,,,,
39451,XNA,Pensioner,UNKNOWN,,,,,
39452,Trade: type 7,Working,Sales staff,,,,,
39453,Trade: type 7,Working,Sales staff,,,,,
39454,Security,Working,Security staff,,,,,
39455,Trade: type 7,Working,Sales staff,,,,,
39456,Self-employed,Working,Sales staff,,,,,
39457,Kindergarten,Working,UNKNOWN,,,,,
39458,Business Entity Type 1,Working,UNKNOWN,,,,,
39459,XNA,Pensioner,UNKNOWN,,,,,
39460,Business Entity Type 3,Working,UNKNOWN,,,,,
39461,Business Entity Type 2,Commercial associate,UNKNOWN,,,,,
39462,Housing,Commercial associate,Laborers,,,,,
39463,Medicine,Commercial associate,Medicine staff,,,,,
39464,Business Entity Type 3,Working,Managers,,,,,
39465,Kindergarten,Working,Managers,,,,,
39466,Industry: type 9,Working,Laborers,,,,,
39467,Business Entity Type 3,Working,Laborers,,,,,
39468,Business Entity Type 1,Commercial associate,Drivers,,,,,
39469,Self-employed,Working,Laborers,,,,,
39470,Industry: type 3,Working,Laborers,,,,,
39471,XNA,Pensioner,UNKNOWN,,,,,
39472,School,State servant,UNKNOWN,,,,,
39473,Self-employed,Commercial associate,UNKNOWN,,,,,
39474,XNA,Pensioner,UNKNOWN,,,,,
39475,Other,Working,Laborers,,,,,
39476,Industry: type 3,Commercial associate,Laborers,,,,,
39477,Other,Working,UNKNOWN,,,,,
39478,Trade: type 3,Working,Sales staff,,,,,
39479,Business Entity Type 3,Working,Laborers,,,,,
39480,School,Working,Core staff,,,,,
39481,Industry: type 4,Commercial associate,UNKNOWN,,,,,
39482,Security,Working,Security staff,,,,,
39483,Trade: type 7,Working,Sales staff,,,,,
39484,School,State servant,Secretaries,,,,,
39485,XNA,Pensioner,UNKNOWN,,,,,
39486,Business Entity Type 2,Working,High skill tech staff,,,,,
39487,XNA,Pensioner,UNKNOWN,,,,,
39488,Business Entity Type 3,Working,Sales staff,,,,,
39489,Other,State servant,Managers,,,,,
39490,XNA,Pensioner,UNKNOWN,,,,,
39491,Construction,Working,High skill tech staff,,,,,
39492,Police,State servant,Core staff,,,,,
39493,Business Entity Type 3,Working,Cleaning staff,,,,,
39494,Business Entity Type 2,Commercial associate,Laborers,,,,,
39495,Transport: type 4,Working,Drivers,,,,,
39496,Business Entity Type 3,Working,High skill tech staff,,,,,
39497,XNA,Pensioner,UNKNOWN,,,,,
39498,Trade: type 2,Working,Sales staff,,,,,
39499,XNA,Pensioner,UNKNOWN,,,,,
39500,Business Entity Type 3,Working,Accountants,,,,,
39501,Business Entity Type 3,Working,Drivers,,,,,
39502,Kindergarten,Working,Managers,,,,,
39503,XNA,Pensioner,UNKNOWN,,,,,
39504,Transport: type 2,Working,High skill tech staff,,,,,
39505,Medicine,Working,Medicine staff,,,,,
39506,Construction,Working,Sales staff,,,,,
39507,Business Entity Type 3,Working,Sales staff,,,,,
39508,Business Entity Type 3,Working,UNKNOWN,,,,,
39509,Self-employed,Commercial associate,Private service staff,,,,,
39510,Business Entity Type 3,Commercial associate,Drivers,,,,,
39511,Business Entity Type 2,Working,UNKNOWN,,,,,
39512,Trade: type 7,Working,Laborers,,,,,
39513,Government,Commercial associate,Core staff,,,,,
39514,Trade: type 3,Working,Sales staff,,,,,
39515,Trade: type 3,Commercial associate,UNKNOWN,,,,,
39516,Business Entity Type 3,Working,Drivers,,,,,
39517,Construction,Working,UNKNOWN,,,,,
39518,Trade: type 7,Working,Managers,,,,,
39519,XNA,Pensioner,UNKNOWN,,,,,
39520,Military,State servant,Laborers,,,,,
39521,XNA,Pensioner,UNKNOWN,,,,,
39522,XNA,Pensioner,UNKNOWN,,,,,
39523,Kindergarten,Working,Security staff,,,,,
39524,Military,Commercial associate,Managers,,,,,
39525,Business Entity Type 2,Working,UNKNOWN,,,,,
39526,XNA,Pensioner,UNKNOWN,,,,,
39527,Other,Working,UNKNOWN,,,,,
39528,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
39529,XNA,Pensioner,UNKNOWN,,,,,
39530,Services,Commercial associate,Laborers,,,,,
39531,Industry: type 11,Commercial associate,UNKNOWN,,,,,
39532,XNA,Pensioner,UNKNOWN,,,,,
39533,Business Entity Type 3,Working,Security staff,,,,,
39534,Transport: type 2,Working,Cleaning staff,,,,,
39535,Business Entity Type 3,Working,Managers,,,,,
39536,Trade: type 2,Working,Sales staff,,,,,
39537,Construction,Working,High skill tech staff,,,,,
39538,School,State servant,Laborers,,,,,
39539,Transport: type 2,Working,Laborers,,,,,
39540,Business Entity Type 2,Working,UNKNOWN,,,,,
39541,XNA,Pensioner,UNKNOWN,,,,,
39542,Business Entity Type 3,Working,Managers,,,,,
39543,Medicine,State servant,Medicine staff,,,,,
39544,Self-employed,Commercial associate,Drivers,,,,,
39545,Business Entity Type 3,Working,Managers,,,,,
39546,Business Entity Type 3,Commercial associate,Laborers,,,,,
39547,Government,Working,Core staff,,,,,
39548,Business Entity Type 3,Working,Laborers,,,,,
39549,Business Entity Type 3,Commercial associate,Laborers,,,,,
39550,Business Entity Type 3,Working,Laborers,,,,,
39551,Other,Working,UNKNOWN,,,,,
39552,Business Entity Type 3,Commercial associate,Laborers,,,,,
39553,Self-employed,Working,High skill tech staff,,,,,
39554,Business Entity Type 3,Working,UNKNOWN,,,,,
39555,Self-employed,Commercial associate,Sales staff,,,,,
39556,Business Entity Type 3,Working,Drivers,,,,,
39557,Kindergarten,Working,UNKNOWN,,,,,
39558,XNA,Pensioner,UNKNOWN,,,,,
39559,Business Entity Type 3,Working,Laborers,,,,,
39560,Trade: type 7,Commercial associate,Sales staff,,,,,
39561,Business Entity Type 3,Working,Laborers,,,,,
39562,Postal,Working,Accountants,,,,,
39563,Self-employed,Commercial associate,Cleaning staff,,,,,
39564,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
39565,XNA,Pensioner,UNKNOWN,,,,,
39566,XNA,Pensioner,UNKNOWN,,,,,
39567,XNA,Pensioner,UNKNOWN,,,,,
39568,Business Entity Type 3,State servant,Laborers,,,,,
39569,XNA,Pensioner,UNKNOWN,,,,,
39570,Business Entity Type 3,Working,Laborers,,,,,
39571,Construction,Working,Managers,,,,,
39572,Self-employed,Commercial associate,Managers,,,,,
39573,Postal,Working,Managers,,,,,
39574,Government,Working,Core staff,,,,,
39575,XNA,Pensioner,UNKNOWN,,,,,
39576,Business Entity Type 3,Working,Laborers,,,,,
39577,School,State servant,Core staff,,,,,
39578,Self-employed,Working,Waiters/barmen staff,,,,,
39579,Industry: type 11,Working,UNKNOWN,,,,,
39580,Self-employed,Commercial associate,Laborers,,,,,
39581,Trade: type 1,Working,Sales staff,,,,,
39582,Trade: type 7,Commercial associate,Managers,,,,,
39583,Self-employed,Working,Drivers,,,,,
39584,Self-employed,Commercial associate,Private service staff,,,,,
39585,Business Entity Type 3,Commercial associate,Laborers,,,,,
39586,Business Entity Type 2,Working,High skill tech staff,,,,,
39587,XNA,Pensioner,UNKNOWN,,,,,
39588,Business Entity Type 3,Working,Laborers,,,,,
39589,Medicine,State servant,Core staff,,,,,
39590,XNA,Pensioner,UNKNOWN,,,,,
39591,Self-employed,Working,UNKNOWN,,,,,
39592,Self-employed,Commercial associate,Core staff,,,,,
39593,XNA,Pensioner,UNKNOWN,,,,,
39594,Government,Working,Core staff,,,,,
39595,Self-employed,Working,Laborers,,,,,
39596,XNA,Pensioner,UNKNOWN,,,,,
39597,Self-employed,Working,Sales staff,,,,,
39598,Business Entity Type 3,Working,Laborers,,,,,
39599,Transport: type 4,Commercial associate,Drivers,,,,,
39600,Self-employed,Working,UNKNOWN,,,,,
39601,XNA,Pensioner,UNKNOWN,,,,,
39602,Government,Working,Core staff,,,,,
39603,Business Entity Type 3,Commercial associate,Laborers,,,,,
39604,Government,Working,Security staff,,,,,
39605,Services,Commercial associate,Private service staff,,,,,
39606,Business Entity Type 3,Working,Managers,,,,,
39607,Postal,State servant,Laborers,,,,,
39608,Trade: type 7,Working,Sales staff,,,,,
39609,Industry: type 7,Commercial associate,High skill tech staff,,,,,
39610,XNA,Pensioner,UNKNOWN,,,,,
39611,Medicine,Commercial associate,UNKNOWN,,,,,
39612,XNA,Pensioner,UNKNOWN,,,,,
39613,Self-employed,Working,Drivers,,,,,
39614,Bank,Commercial associate,Core staff,,,,,
39615,Business Entity Type 3,Working,Sales staff,,,,,
39616,Self-employed,Working,Sales staff,,,,,
39617,Self-employed,Commercial associate,UNKNOWN,,,,,
39618,Self-employed,Working,Drivers,,,,,
39619,Bank,Working,Core staff,,,,,
39620,Trade: type 7,Working,Sales staff,,,,,
39621,Trade: type 7,Working,Laborers,,,,,
39622,XNA,Pensioner,UNKNOWN,,,,,
39623,Business Entity Type 3,Commercial associate,Sales staff,,,,,
39624,Self-employed,Working,Drivers,,,,,
39625,XNA,Pensioner,UNKNOWN,,,,,
39626,Medicine,Working,Core staff,,,,,
39627,Other,State servant,Laborers,,,,,
39628,Government,Working,UNKNOWN,,,,,
39629,XNA,Pensioner,UNKNOWN,,,,,
39630,Other,Commercial associate,UNKNOWN,,,,,
39631,XNA,Pensioner,UNKNOWN,,,,,
39632,Business Entity Type 3,Commercial associate,Sales staff,,,,,
39633,XNA,Pensioner,UNKNOWN,,,,,
39634,Security,Working,Security staff,,,,,
39635,Electricity,Working,UNKNOWN,,,,,
39636,Trade: type 3,Working,High skill tech staff,,,,,
39637,Insurance,Commercial associate,Core staff,,,,,
39638,Trade: type 3,Working,Laborers,,,,,
39639,Housing,Working,Drivers,,,,,
39640,XNA,Pensioner,UNKNOWN,,,,,
39641,Self-employed,Commercial associate,Accountants,,,,,
39642,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
39643,Self-employed,Working,Sales staff,,,,,
39644,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
39645,Bank,Working,Core staff,,,,,
39646,Transport: type 3,Working,Drivers,,,,,
39647,Housing,Commercial associate,UNKNOWN,,,,,
39648,Industry: type 1,Working,Laborers,,,,,
39649,Postal,State servant,Accountants,,,,,
39650,School,Working,Core staff,,,,,
39651,Business Entity Type 3,Working,Drivers,,,,,
39652,Business Entity Type 3,Working,Drivers,,,,,
39653,Business Entity Type 3,Commercial associate,Laborers,,,,,
39654,Self-employed,Working,Sales staff,,,,,
39655,Construction,Commercial associate,HR staff,,,,,
39656,Business Entity Type 2,Working,Laborers,,,,,
39657,Other,Working,UNKNOWN,,,,,
39658,Self-employed,Working,Sales staff,,,,,
39659,Self-employed,Working,Laborers,,,,,
39660,XNA,Pensioner,UNKNOWN,,,,,
39661,Security Ministries,State servant,Core staff,,,,,
39662,XNA,Pensioner,UNKNOWN,,,,,
39663,Construction,Working,Laborers,,,,,
39664,Business Entity Type 3,Working,UNKNOWN,,,,,
39665,Government,Working,Laborers,,,,,
39666,School,Working,Security staff,,,,,
39667,Transport: type 4,Commercial associate,UNKNOWN,,,,,
39668,Business Entity Type 1,Working,Managers,,,,,
39669,Police,Working,Managers,,,,,
39670,Business Entity Type 3,Commercial associate,Managers,,,,,
39671,Business Entity Type 3,Working,Laborers,,,,,
39672,Other,Commercial associate,UNKNOWN,,,,,
39673,Hotel,Working,Core staff,,,,,
39674,Industry: type 7,Working,UNKNOWN,,,,,
39675,Business Entity Type 3,Working,Sales staff,,,,,
39676,XNA,Pensioner,UNKNOWN,,,,,
39677,Business Entity Type 3,Working,Laborers,,,,,
39678,Security,Working,Security staff,,,,,
39679,Emergency,State servant,UNKNOWN,,,,,
39680,Business Entity Type 2,Working,Laborers,,,,,
39681,XNA,Pensioner,UNKNOWN,,,,,
39682,Bank,Working,Core staff,,,,,
39683,XNA,Pensioner,UNKNOWN,,,,,
39684,Military,State servant,Core staff,,,,,
39685,Transport: type 4,Working,Laborers,,,,,
39686,Other,Working,Laborers,,,,,
39687,Other,Working,Core staff,,,,,
39688,School,Working,Core staff,,,,,
39689,University,Working,Security staff,,,,,
39690,Self-employed,Working,Core staff,,,,,
39691,Business Entity Type 3,Working,Drivers,,,,,
39692,XNA,Pensioner,UNKNOWN,,,,,
39693,Business Entity Type 3,Working,Cleaning staff,,,,,
39694,Business Entity Type 3,Working,High skill tech staff,,,,,
39695,Industry: type 2,Commercial associate,Sales staff,,,,,
39696,Security Ministries,State servant,Core staff,,,,,
39697,Self-employed,Working,Core staff,,,,,
39698,XNA,Pensioner,UNKNOWN,,,,,
39699,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
39700,Business Entity Type 3,Working,Cooking staff,,,,,
39701,Other,Working,UNKNOWN,,,,,
39702,XNA,Pensioner,UNKNOWN,,,,,
39703,Industry: type 8,Commercial associate,Managers,,,,,
39704,Government,State servant,Managers,,,,,
39705,School,Working,Managers,,,,,
39706,Transport: type 4,Commercial associate,Sales staff,,,,,
39707,Business Entity Type 2,Working,Laborers,,,,,
39708,Industry: type 3,Working,Laborers,,,,,
39709,XNA,Pensioner,UNKNOWN,,,,,
39710,Business Entity Type 3,Working,Laborers,,,,,
39711,School,State servant,Core staff,,,,,
39712,Services,Commercial associate,Private service staff,,,,,
39713,Self-employed,Working,Accountants,,,,,
39714,Business Entity Type 3,Commercial associate,Managers,,,,,
39715,XNA,Pensioner,UNKNOWN,,,,,
39716,XNA,Pensioner,UNKNOWN,,,,,
39717,Government,Commercial associate,Secretaries,,,,,
39718,Business Entity Type 3,Commercial associate,Realty agents,,,,,
39719,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
39720,Medicine,Working,UNKNOWN,,,,,
39721,Industry: type 3,Commercial associate,Sales staff,,,,,
39722,Business Entity Type 3,Working,Laborers,,,,,
39723,Business Entity Type 3,Commercial associate,Drivers,,,,,
39724,Self-employed,Working,UNKNOWN,,,,,
39725,Other,Commercial associate,UNKNOWN,,,,,
39726,Business Entity Type 3,Working,Sales staff,,,,,
39727,Business Entity Type 2,Commercial associate,Laborers,,,,,
39728,Self-employed,Working,Private service staff,,,,,
39729,Security Ministries,State servant,Secretaries,,,,,
39730,Trade: type 7,Working,Sales staff,,,,,
39731,Business Entity Type 2,Working,Sales staff,,,,,
39732,Business Entity Type 3,Working,Drivers,,,,,
39733,XNA,Pensioner,UNKNOWN,,,,,
39734,Self-employed,Working,UNKNOWN,,,,,
39735,XNA,Pensioner,UNKNOWN,,,,,
39736,Other,Working,UNKNOWN,,,,,
39737,Security Ministries,Working,Managers,,,,,
39738,Industry: type 3,Working,Security staff,,,,,
39739,Self-employed,Working,Laborers,,,,,
39740,Business Entity Type 3,Working,Laborers,,,,,
39741,Trade: type 3,Working,Sales staff,,,,,
39742,XNA,Pensioner,UNKNOWN,,,,,
39743,Business Entity Type 3,Commercial associate,Low-skill Laborers,,,,,
39744,XNA,Pensioner,UNKNOWN,,,,,
39745,Kindergarten,State servant,Core staff,,,,,
39746,Medicine,Working,Medicine staff,,,,,
39747,Business Entity Type 3,Working,Accountants,,,,,
39748,Medicine,Working,Medicine staff,,,,,
39749,Business Entity Type 3,Commercial associate,Managers,,,,,
39750,Business Entity Type 3,Working,Sales staff,,,,,
39751,XNA,Pensioner,UNKNOWN,,,,,
39752,Transport: type 4,Commercial associate,Accountants,,,,,
39753,Trade: type 3,Working,Sales staff,,,,,
39754,Business Entity Type 3,Commercial associate,Laborers,,,,,
39755,XNA,Pensioner,UNKNOWN,,,,,
39756,Business Entity Type 3,Commercial associate,Sales staff,,,,,
39757,Security,Commercial associate,Security staff,,,,,
39758,Business Entity Type 1,Working,Laborers,,,,,
39759,Medicine,Working,Medicine staff,,,,,
39760,Self-employed,Working,Laborers,,,,,
39761,Transport: type 4,Working,Drivers,,,,,
39762,Business Entity Type 3,Working,Managers,,,,,
39763,Self-employed,Working,Drivers,,,,,
39764,Kindergarten,Working,Cooking staff,,,,,
39765,XNA,Pensioner,UNKNOWN,,,,,
39766,Trade: type 7,Working,Sales staff,,,,,
39767,Business Entity Type 3,State servant,Laborers,,,,,
39768,Industry: type 3,Working,Laborers,,,,,
39769,XNA,Pensioner,UNKNOWN,,,,,
39770,Transport: type 3,Working,Drivers,,,,,
39771,Self-employed,Working,UNKNOWN,,,,,
39772,XNA,Pensioner,UNKNOWN,,,,,
39773,Self-employed,Working,Managers,,,,,
39774,Business Entity Type 3,Commercial associate,Drivers,,,,,
39775,Industry: type 3,Working,Laborers,,,,,
39776,Industry: type 11,Working,Laborers,,,,,
39777,Business Entity Type 3,Commercial associate,High skill tech staff,,,,,
39778,Mobile,Working,Laborers,,,,,
39779,Self-employed,Working,Sales staff,,,,,
39780,Business Entity Type 3,Working,UNKNOWN,,,,,
39781,Industry: type 3,Working,Laborers,,,,,
39782,Security Ministries,State servant,Managers,,,,,
39783,Business Entity Type 3,Commercial associate,Sales staff,,,,,
39784,XNA,Pensioner,UNKNOWN,,,,,
39785,Business Entity Type 2,Working,High skill tech staff,,,,,
39786,Business Entity Type 1,Working,Drivers,,,,,
39787,Security,Working,UNKNOWN,,,,,
39788,Government,State servant,Laborers,,,,,
39789,Construction,Commercial associate,High skill tech staff,,,,,
39790,Business Entity Type 3,Commercial associate,Accountants,,,,,
39791,Business Entity Type 3,Working,Security staff,,,,,
39792,Self-employed,Commercial associate,Laborers,,,,,
39793,Business Entity Type 2,Commercial associate,Core staff,,,,,
39794,Trade: type 6,Commercial associate,Managers,,,,,
39795,Telecom,Working,Sales staff,,,,,
39796,Self-employed,Working,Managers,,,,,
39797,Trade: type 7,Working,Sales staff,,,,,
39798,Other,Commercial associate,Sales staff,,,,,
39799,Business Entity Type 3,Working,Drivers,,,,,
39800,Self-employed,Working,Private service staff,,,,,
39801,Other,Working,UNKNOWN,,,,,
39802,XNA,Pensioner,UNKNOWN,,,,,
39803,Self-employed,Commercial associate,UNKNOWN,,,,,
39804,Self-employed,Working,Sales staff,,,,,
39805,Self-employed,Commercial associate,Low-skill Laborers,,,,,
39806,Business Entity Type 3,Commercial associate,Laborers,,,,,
39807,School,Working,Core staff,,,,,
39808,Business Entity Type 3,Commercial associate,Laborers,,,,,
39809,Medicine,Working,Medicine staff,,,,,
39810,Self-employed,Working,Accountants,,,,,
39811,Other,Working,Private service staff,,,,,
39812,Hotel,Working,Laborers,,,,,
39813,Business Entity Type 3,Commercial associate,Sales staff,,,,,
39814,Business Entity Type 3,Working,Laborers,,,,,
39815,Other,Working,Laborers,,,,,
39816,Self-employed,Commercial associate,Sales staff,,,,,
39817,Industry: type 4,Commercial associate,High skill tech staff,,,,,
39818,XNA,Pensioner,UNKNOWN,,,,,
39819,XNA,Pensioner,UNKNOWN,,,,,
39820,XNA,Pensioner,UNKNOWN,,,,,
39821,University,Working,Core staff,,,,,
39822,Business Entity Type 1,Working,Laborers,,,,,
39823,Transport: type 3,Working,Laborers,,,,,
39824,Self-employed,Working,Drivers,,,,,
39825,Business Entity Type 3,Commercial associate,Laborers,,,,,
39826,Trade: type 7,Working,Sales staff,,,,,
39827,XNA,Pensioner,UNKNOWN,,,,,
39828,Self-employed,Working,Laborers,,,,,
39829,School,Working,Core staff,,,,,
39830,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
39831,Bank,Working,Core staff,,,,,
39832,Self-employed,Working,Drivers,,,,,
39833,Restaurant,Working,Managers,,,,,
39834,Business Entity Type 3,Working,UNKNOWN,,,,,
39835,University,State servant,HR staff,,,,,
39836,Hotel,Working,Medicine staff,,,,,
39837,Government,State servant,Managers,,,,,
39838,Construction,Commercial associate,Drivers,,,,,
39839,Self-employed,Commercial associate,Sales staff,,,,,
39840,Business Entity Type 3,Working,Sales staff,,,,,
39841,Business Entity Type 3,Commercial associate,Sales staff,,,,,
39842,Business Entity Type 3,Commercial associate,Managers,,,,,
39843,Transport: type 3,Working,Drivers,,,,,
39844,Security Ministries,State servant,Core staff,,,,,
39845,XNA,Pensioner,UNKNOWN,,,,,
39846,Self-employed,Commercial associate,Sales staff,,,,,
39847,Business Entity Type 3,Working,Sales staff,,,,,
39848,Business Entity Type 3,Working,Cleaning staff,,,,,
39849,XNA,Pensioner,UNKNOWN,,,,,
39850,Self-employed,Working,Sales staff,,,,,
39851,Industry: type 4,Commercial associate,High skill tech staff,,,,,
39852,Business Entity Type 3,Working,Realty agents,,,,,
39853,XNA,Pensioner,UNKNOWN,,,,,
39854,XNA,Pensioner,UNKNOWN,,,,,
39855,Construction,Working,Laborers,,,,,
39856,XNA,Pensioner,UNKNOWN,,,,,
39857,Trade: type 4,Commercial associate,Sales staff,,,,,
39858,University,Working,Managers,,,,,
39859,Self-employed,Working,Sales staff,,,,,
39860,Business Entity Type 3,Commercial associate,Managers,,,,,
39861,Trade: type 7,Working,Sales staff,,,,,
39862,Kindergarten,Commercial associate,Core staff,,,,,
39863,School,Working,UNKNOWN,,,,,
39864,Business Entity Type 3,Working,Cleaning staff,,,,,
39865,Industry: type 9,Commercial associate,High skill tech staff,,,,,
39866,Business Entity Type 3,Working,Drivers,,,,,
39867,Business Entity Type 2,Working,High skill tech staff,,,,,
39868,XNA,Pensioner,UNKNOWN,,,,,
39869,School,Working,Secretaries,,,,,
39870,XNA,Pensioner,UNKNOWN,,,,,
39871,Construction,Working,Accountants,,,,,
39872,Transport: type 3,Working,Drivers,,,,,
39873,XNA,Pensioner,UNKNOWN,,,,,
39874,Self-employed,Commercial associate,Managers,,,,,
39875,XNA,Pensioner,UNKNOWN,,,,,
39876,Self-employed,Working,Managers,,,,,
39877,Business Entity Type 2,Commercial associate,Accountants,,,,,
39878,Business Entity Type 3,Working,Drivers,,,,,
39879,Self-employed,Working,Core staff,,,,,
39880,XNA,Pensioner,UNKNOWN,,,,,
39881,Trade: type 7,Working,Cleaning staff,,,,,
39882,Business Entity Type 3,Commercial associate,Accountants,,,,,
39883,Other,Commercial associate,Medicine staff,,,,,
39884,Self-employed,Commercial associate,Drivers,,,,,
39885,Industry: type 3,Working,UNKNOWN,,,,,
39886,Business Entity Type 3,Working,Drivers,,,,,
39887,Business Entity Type 3,Working,UNKNOWN,,,,,
39888,Industry: type 9,Commercial associate,Laborers,,,,,
39889,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
39890,XNA,Pensioner,UNKNOWN,,,,,
39891,Business Entity Type 3,Commercial associate,Accountants,,,,,
39892,Medicine,Working,Medicine staff,,,,,
39893,Self-employed,Commercial associate,Sales staff,,,,,
39894,Self-employed,Working,UNKNOWN,,,,,
39895,Business Entity Type 3,Commercial associate,High skill tech staff,,,,,
39896,Government,Working,Cooking staff,,,,,
39897,XNA,Pensioner,UNKNOWN,,,,,
39898,XNA,Pensioner,UNKNOWN,,,,,
39899,Business Entity Type 3,Working,Managers,,,,,
39900,School,Working,Security staff,,,,,
39901,Self-employed,Working,Drivers,,,,,
39902,Industry: type 3,Working,Laborers,,,,,
39903,XNA,Pensioner,UNKNOWN,,,,,
39904,Business Entity Type 3,Working,Medicine staff,,,,,
39905,XNA,Pensioner,UNKNOWN,,,,,
39906,Other,Working,Cooking staff,,,,,
39907,Self-employed,Working,Core staff,,,,,
39908,Business Entity Type 2,Working,Private service staff,,,,,
39909,Kindergarten,State servant,UNKNOWN,,,,,
39910,Self-employed,Working,UNKNOWN,,,,,
39911,Self-employed,Working,Sales staff,,,,,
39912,XNA,Pensioner,UNKNOWN,,,,,
39913,Other,State servant,Medicine staff,,,,,
39914,Housing,Commercial associate,Accountants,,,,,
39915,Government,Working,Drivers,,,,,
39916,Business Entity Type 3,Commercial associate,Managers,,,,,
39917,Medicine,Working,Secretaries,,,,,
39918,Business Entity Type 3,State servant,Accountants,,,,,
39919,Self-employed,Working,Laborers,,,,,
39920,Medicine,Working,Accountants,,,,,
39921,Construction,Commercial associate,Drivers,,,,,
39922,Business Entity Type 3,Working,Sales staff,,,,,
39923,Bank,Commercial associate,UNKNOWN,,,,,
39924,XNA,Pensioner,UNKNOWN,,,,,
39925,Industry: type 3,Working,UNKNOWN,,,,,
39926,Government,Commercial associate,Core staff,,,,,
39927,XNA,Pensioner,UNKNOWN,,,,,
39928,XNA,Pensioner,UNKNOWN,,,,,
39929,Industry: type 7,Commercial associate,High skill tech staff,,,,,
39930,XNA,Pensioner,UNKNOWN,,,,,
39931,Government,State servant,Core staff,,,,,
39932,Other,Working,Managers,,,,,
39933,Self-employed,Working,Drivers,,,,,
39934,Self-employed,Working,Drivers,,,,,
39935,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
39936,Other,Working,UNKNOWN,,,,,
39937,XNA,Pensioner,UNKNOWN,,,,,
39938,Business Entity Type 1,Commercial associate,Laborers,,,,,
39939,XNA,Pensioner,UNKNOWN,,,,,
39940,XNA,Pensioner,UNKNOWN,,,,,
39941,Transport: type 4,Working,Laborers,,,,,
39942,Construction,Working,Sales staff,,,,,
39943,Business Entity Type 3,Working,Accountants,,,,,
39944,Medicine,Working,Medicine staff,,,,,
39945,School,State servant,Core staff,,,,,
39946,Government,Commercial associate,Core staff,,,,,
39947,Medicine,Working,UNKNOWN,,,,,
39948,Other,Working,Medicine staff,,,,,
39949,Medicine,State servant,Medicine staff,,,,,
39950,Business Entity Type 3,Commercial associate,Security staff,,,,,
39951,XNA,Pensioner,UNKNOWN,,,,,
39952,Government,Working,Core staff,,,,,
39953,Business Entity Type 3,Commercial associate,Laborers,,,,,
39954,Business Entity Type 3,Working,Low-skill Laborers,,,,,
39955,Other,Commercial associate,Managers,,,,,
39956,Business Entity Type 3,Working,Laborers,,,,,
39957,Government,State servant,Core staff,,,,,
39958,Medicine,Working,Accountants,,,,,
39959,Industry: type 3,Commercial associate,HR staff,,,,,
39960,Industry: type 5,Working,High skill tech staff,,,,,
39961,Trade: type 7,Commercial associate,Laborers,,,,,
39962,Business Entity Type 3,Commercial associate,High skill tech staff,,,,,
39963,Other,Working,Accountants,,,,,
39964,Business Entity Type 3,Commercial associate,High skill tech staff,,,,,
39965,Business Entity Type 1,Commercial associate,Laborers,,,,,
39966,XNA,Pensioner,UNKNOWN,,,,,
39967,Other,Commercial associate,Core staff,,,,,
39968,Medicine,State servant,Medicine staff,,,,,
39969,Government,Working,Managers,,,,,
39970,School,Working,Laborers,,,,,
39971,Transport: type 4,Working,Drivers,,,,,
39972,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
39973,Business Entity Type 2,Working,Laborers,,,,,
39974,Security,Working,Security staff,,,,,
39975,XNA,Pensioner,UNKNOWN,,,,,
39976,Kindergarten,Working,Cooking staff,,,,,
39977,Government,State servant,Managers,,,,,
39978,Medicine,Working,High skill tech staff,,,,,
39979,Business Entity Type 3,Commercial associate,Managers,,,,,
39980,Self-employed,Commercial associate,Sales staff,,,,,
39981,Business Entity Type 3,Working,Core staff,,,,,
39982,Trade: type 7,Commercial associate,Core staff,,,,,
39983,Business Entity Type 3,Working,UNKNOWN,,,,,
39984,Business Entity Type 3,Working,Drivers,,,,,
39985,Self-employed,Working,UNKNOWN,,,,,
39986,Business Entity Type 3,Working,Accountants,,,,,
39987,Self-employed,Commercial associate,Cooking staff,,,,,
39988,Trade: type 7,Working,Sales staff,,,,,
39989,Self-employed,Working,Laborers,,,,,
